Mexico	coach	Gerardo Martino
Javier Aquino	position	midfielder
Javier Aquino	goals	0
Javier Aquino	caps	54
Javier Aquino	age	29
Mexico	midfielder	Giovani dos Santos
Mexico	has player	Giovani dos Santos
Giovani dos Santos	position	midfielder
Giovani dos Santos	goals	19
Giovani dos Santos	caps	106
Giovani dos Santos	age	29
Mexico	midfielder	Hector Herrera
Mexico	has player	Hector Herrera
Hector Herrera	position	midfielder
Hector Herrera	goals	5
Hector Herrera	caps	70
Hector Herrera	age	28
Mexico	forward	Carlos Vela
Mexico	has player	Carlos Vela
Carlos Vela	position	forward
Carlos Vela	goals	19
Carlos Vela	caps	72
Carlos Vela	age	30
